Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1983","1983","hg/ha","10992","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1984","1984","hg/ha","10855","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1985","1985","hg/ha","10860","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1986","1986","hg/ha","10845","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1987","1987","hg/ha","10845","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1988","1988","hg/ha","11085","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1989","1989","hg/ha","10948","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1990","1990","hg/ha","10537","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1991","1991","hg/ha","10637","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1992","1992","hg/ha","8000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1993","1993","hg/ha","10000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1994","1994","hg/ha","9200","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1995","1995","hg/ha","8889","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1996","1996","hg/ha","10000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1997","1997","hg/ha","12500","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1998","1998","hg/ha","12000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1999","1999","hg/ha","12000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2000","2000","hg/ha","5968","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2001","2001","hg/ha","10000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2002","2002","hg/ha","14619","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2003","2003","hg/ha","8889","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2004","2004","hg/ha","9206","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2005","2005","hg/ha","14042","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2006","2006","hg/ha","15424","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2007","2007","hg/ha","15678","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2008","2008","hg/ha","14110","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2009","2009","hg/ha","18202","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2010","2010","hg/ha","20613","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2011","2011","hg/ha","16100","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2012","2012","hg/ha","18000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2013","2013","hg/ha","18489","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2014","2014","hg/ha","15213","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2015","2015","hg/ha","14291","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2016","2016","hg/ha","13770","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2017","2017","hg/ha","13933","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2018","2018","hg/ha","6748","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2019","2019","hg/ha","14699","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","2020","2020","hg/ha","14838","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1961","1961","hg/ha","88235","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1962","1962","hg/ha","88235","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1963","1963","hg/ha","88235","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1964","1964","hg/ha","88235","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1965","1965","hg/ha","88235","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1966","1966","hg/ha","88235","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1967","1967","hg/ha","88235","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1968","1968","hg/ha","87681","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1969","1969","hg/ha","87681","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1970","1970","hg/ha","84615","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1971","1971","hg/ha","76923","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","558","Berries nes","1972","1972","hg/ha","87681","Fc","Calculated data"
